mktID,weekdayThisAreaIsActive,date,mktDay,year,month,weekday,mkt_lat,mkt_lon,sumsum_maxpMax_27_100,sumsum_maxpMax_27_24,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,heavy_haze_percent,instrument,light_haze_percent,satellite_azimuth,satellite_id,shadow_percent,sun_azimuth,sun_elevation,view_angle,visible_confidence_percent,visible_percent,time_decimal,diff_to_median_time,exclDates,maxVar_s_6_maxpMax_1
lon9_9576lat36_8643,5,2018-01-25,0,2018,1,4,9.9576,36.8643,0.1831858145154092,,,,,,,,,PS2,,,,,,,,,,7.388611111111111,0.1377777777777771,0,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2018-01-28,0,2018,1,0,9.9576,36.8643,0.2771309750740418,,2018-01-28T07:24:29.798159Z,0.0,87.0,100.0,0.0,0.0,0.0,PS2,0.0,276.2,1013,0.0,128.7,45.1,1.6,87.0,100.0,7.408055555555556,0.1183333333333322,0,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2018-01-29,0,2018,1,1,9.9576,36.8643,,,,,,,,,,PS2,,,,,,,,,,7.3925,0.1338888888888885,0,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2018-01-29,0,2018,1,1,9.9576,36.8643,0.1332900470985586,,2018-01-29T07:23:34.498321Z,0.0,87.0,100.0,0.0,0.0,0.0,PS2,0.0,99.0,0f51,0.0,128.4,45.3,2.3,87.0,100.0,7.392777777777778,0.1336111111111106,0,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2018-01-30,0,2018,1,2,9.9576,36.8643,0.0944782803498516,,,,,,,,,PS2,,,,,,,,,,7.395277777777778,0.1311111111111103,0,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2018-01-31,0,2018,1,3,9.9576,36.8643,0.1494633892136914,,2018-01-31T07:23:57.567899Z,0.0,88.0,100.0,0.0,0.0,0.0,PS2,0.0,235.8,1005,0.0,127.7,45.5,0.8,88.0,100.0,7.399166666666667,0.1272222222222216,0,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2018-02-01,0,2018,2,4,9.9576,36.8643,,,2018-02-01T07:24:02.206047Z,0.0,99.0,100.0,0.0,0.0,0.0,PS2,0.0,102.7,1038,0.0,127.4,45.6,1.0,99.0,100.0,7.400555555555556,0.1258333333333325,0,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2018-02-01,0,2018,2,4,9.9576,36.8643,0.269856763676897,,2018-02-01T07:24:03.249764Z,0.0,100.0,100.0,0.0,0.0,0.0,PS2,0.0,102.9,1038,0.0,127.3,45.7,1.0,100.0,100.0,7.400833333333334,0.1255555555555547,0,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2018-02-04,0,2018,2,0,9.9576,36.8643,0.2566788934331476,,2018-02-04T07:23:12.888839Z,0.0,100.0,100.0,0.0,0.0,0.0,PS2,0.0,106.9,1029,0.0,126.0,46.0,0.2,100.0,100.0,7.386666666666667,0.1397222222222218,0,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2018-02-05,0,2018,2,1,9.9576,36.8643,0.1449789032509784,,2018-02-05T07:23:37.736128Z,0.0,100.0,100.0,0.0,0.0,0.0,PS2,0.0,198.1,1030,0.0,125.8,46.1,0.8,100.0,100.0,7.393611111111111,0.1327777777777772,0,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2018-02-06,0,2018,2,2,9.9576,36.8643,0.4077226472141165,,2018-02-06T07:24:10.774616Z,0.0,100.0,100.0,0.0,0.0,0.0,PS2,0.0,99.6,0f34,0.0,125.6,46.5,2.0,100.0,100.0,7.402777777777779,0.12361111111111,0,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2018-02-07,0,2018,2,3,9.9576,36.8643,0.2349187068618776,,2018-02-07T07:24:31.125324Z,0.0,100.0,100.0,0.0,0.0,0.0,PS2,0.0,261.2,0f42,0.0,125.1,46.7,0.5,100.0,100.0,7.408611111111111,0.1177777777777775,0,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2018-02-12,0,2018,2,1,9.9576,36.8643,0.4021235621886377,,2018-02-12T07:26:23.591656Z,0.01,100.0,100.0,0.0,0.0,0.0,PS2,0.0,273.8,0e0f,0.0,123.4,47.8,0.6,100.0,100.0,7.439722222222223,0.086666666666666,0,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2018-02-13,0,2018,2,2,9.9576,36.8643,0.1621887234766459,,2018-02-13T07:23:52.368598Z,0.0,100.0,100.0,0.0,0.0,0.0,PS2,0.0,243.2,1025,0.0,122.7,47.5,0.8,100.0,100.0,7.397777777777778,0.1286111111111108,0,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2018-02-18,0,2018,2,0,9.9576,36.8643,0.4238722241570217,,2018-02-18T07:24:38.077469Z,0.0,98.0,100.0,0.0,0.0,0.0,PS2,0.0,251.6,100a,0.0,120.6,48.6,0.9,98.0,100.0,7.410555555555556,0.1158333333333327,0,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2018-02-21,0,2018,2,3,9.9576,36.8643,1.390263213817173,,,,,,,,,PS2,,,,,,,,,,7.399444444444445,0.1269444444444438,0,sumsum_maxpMax_27_24
